================================================================================
模型文件: flickcd_student_backbone.pth
文件类型: State Dict (Pure Weights)
总层数: 486
================================================================================

Layer Name (键名)                                              | Shape (维度)                | Params (参数量)
ucm.mixM5.channel_mixer.0.weight                             | [80, 80, 1, 1]            | 6,400
ucm.mixM5.channel_mixer.0.bias                               | [80]                      | 80
ucm.mixM5.channel_mixer.1.weight                             | [80]                      | 80
ucm.mixM5.channel_mixer.1.bias                               | [80]                      | 80
ucm.mixM5.channel_mixer.1.running_mean                       | [80]                      | 80
ucm.mixM5.channel_mixer.1.running_var                        | [80]                      | 80
ucm.mixM5.channel_mixer.1.num_batches_tracked                | []                        | 1
ucm.mixM5.se.fc1.weight                                      | [24, 80, 1, 1]            | 1,920
ucm.mixM5.se.fc1.bias                                        | [24]                      | 24
ucm.mixM5.se.fc2.weight                                      | [80, 24, 1, 1]            | 1,920
ucm.mixM5.se.fc2.bias                                        | [80]                      | 80
ucm.mixM6.pixel_mixer.0.weight                               | [160, 1, 3, 3]            | 1,440
ucm.mixM6.pixel_mixer.0.bias                                 | [160]                     | 160
ucm.mixM6.pixel_mixer.1.weight                               | [160]                     | 160
ucm.mixM6.pixel_mixer.1.bias                                 | [160]                     | 160
ucm.mixM6.pixel_mixer.1.running_mean                         | [160]                     | 160
ucm.mixM6.pixel_mixer.1.running_var                          | [160]                     | 160
ucm.mixM6.pixel_mixer.1.num_batches_tracked                  | []                        | 1
ucm.mixM6.channel_mixer.0.weight                             | [80, 160, 1, 1]           | 12,800
ucm.mixM6.channel_mixer.0.bias                               | [80]                      | 80
ucm.mixM6.channel_mixer.1.weight                             | [80]                      | 80
ucm.mixM6.channel_mixer.1.bias                               | [80]                      | 80
ucm.mixM6.channel_mixer.1.running_mean                       | [80]                      | 80
ucm.mixM6.channel_mixer.1.running_var                        | [80]                      | 80
ucm.mixM6.channel_mixer.1.num_batches_tracked                | []                        | 1
ucm.mixM6.se.fc1.weight                                      | [40, 160, 1, 1]           | 6,400
ucm.mixM6.se.fc1.bias                                        | [40]                      | 40
ucm.mixM6.se.fc2.weight                                      | [160, 40, 1, 1]           | 6,400
ucm.mixM6.se.fc2.bias                                        | [160]                     | 160
decoder.conv_p1.0.weight                                     | [80, 1, 3, 3]             | 720
decoder.conv_p1.0.bias                                       | [80]                      | 80
decoder.conv_p1.1.weight                                     | [80]                      | 80
decoder.conv_p1.1.bias                                       | [80]                      | 80
decoder.conv_p1.1.running_mean                               | [80]                      | 80
decoder.conv_p1.1.running_var                                | [80]                      | 80
decoder.conv_p1.1.num_batches_tracked                        | []                        | 1
decoder.conv_p1.3.weight                                     | [80, 80, 1, 1]            | 6,400
decoder.conv_p1.3.bias                                       | [80]                      | 80
decoder.conv_p1.4.weight                                     | [80]                      | 80
decoder.conv_p1.4.bias                                       | [80]                      | 80
decoder.conv_p1.4.running_mean                               | [80]                      | 80
decoder.conv_p1.4.running_var                                | [80]                      | 80
decoder.conv_p1.4.num_batches_tracked                        | []                        | 1
decoder.conv_p2.0.weight                                     | [80, 1, 3, 3]             | 720
decoder.conv_p2.0.bias                                       | [80]                      | 80
decoder.conv_p2.1.weight                                     | [80]                      | 80
decoder.conv_p2.1.bias                                       | [80]                      | 80
decoder.conv_p2.1.running_mean                               | [80]                      | 80
decoder.conv_p2.1.running_var                                | [80]                      | 80
decoder.conv_p2.1.num_batches_tracked                        | []                        | 1
decoder.conv_p2.3.weight                                     | [80, 80, 1, 1]            | 6,400
decoder.conv_p2.3.bias                                       | [80]                      | 80
decoder.conv_p2.4.weight                                     | [80]                      | 80
decoder.conv_p2.4.bias                                       | [80]                      | 80
decoder.conv_p2.4.running_mean                               | [80]                      | 80
decoder.conv_p2.4.running_var                                | [80]                      | 80
decoder.conv_p2.4.num_batches_tracked                        | []                        | 1
decoder.cls.weight                                           | [1, 80, 1, 1]             | 80
decoder.cls.bias                                             | [1]                       | 1
decoder.psa1.sa.pos_encode                                   | [49, 4]                   | 196
decoder.psa1.sa.pos_index                                    | [16, 16]                  | 256
